6125.5767,266.78479,4.5066767,6.13E+03,2.58E+02,4.71E+00,6.13E+03,2.65E+02,1.02E+01,6125.5767,188.40208,2.9481771,6.13E+03,2.06E+02,3.87E+00,6.13E+03,2.21E+02,6.62E+00,6125.5767,368.7876,218.85509,6.13E+03,4.20E+02,2.75E+02,6.13E+03,4.48E+02,3.60E+02,6125.5767,439.68265,478.67355,6.13E+03,4.40E+02,4.79E+02,6.13E+03,4.99E+02,5.42E+02
4763.4761,267.66315,4.0594335,4.76E+03,2.58E+02,4.33E+00,4.76E+03,2.65E+02,8.61E+00,4763.4761,188.5173,2.7033246,4.76E+03,2.07E+02,3.85E+00,4.76E+03,2.22E+02,5.75E+00,4763.4761,408.81778,248.55684,4.76E+03,4.67E+02,3.18E+02,4.76E+03,5.08E+02,4.17E+02,4763.4761,480.88324,571.16309,4.76E+03,4.81E+02,5.71E+02,4.76E+03,5.39E+02,6.56E+02
3768.7942,267.55536,3.8133225,3.77E+03,2.58E+02,4.21E+00,3.77E+03,2.65E+02,8.13E+00,3768.7942,188.66747,2.7152479,3.77E+03,2.07E+02,3.81E+00,3.77E+03,2.22E+02,5.42E+00,3768.7942,455.09122,274.40353,3.77E+03,5.21E+02,3.58E+02,3.77E+03,5.77E+02,4.71E+02,3768.7942,525.46765,674.70459,3.77E+03,5.25E+02,6.75E+02,3.77E+03,5.81E+02,7.85E+02
2982.8621,268.16034,4.0057964,2.98E+03,2.59E+02,3.91E+00,2.98E+03,2.65E+02,7.50E+00,2982.8621,189.0573,2.6538503,2.98E+03,2.07E+02,3.74E+00,2.98E+03,2.22E+02,4.89E+00,2982.8621,508.12146,295.11728,2.98E+03,5.88E+02,3.96E+02,2.98E+03,6.61E+02,5.24E+02,2982.8621,575.1405,798.44995,2.98E+03,5.75E+02,7.98E+02,2.98E+03,6.30E+02,9.41E+02
2359.2412,268.41476,4.2132792,2.36E+03,2.59E+02,3.93E+00,2.36E+03,2.65E+02,6.56E+00,2359.2412,189.20558,2.8718553,2.36E+03,2.08E+02,3.95E+00,2.36E+03,2.23E+02,4.82E+00,2359.2412,568.69824,309.73953,2.36E+03,6.65E+02,4.27E+02,2.36E+03,7.59E+02,5.70E+02,2359.2412,633.0401,948.60266,2.36E+03,6.33E+02,9.49E+02,2.36E+03,6.86E+02,1.13E+03
1866.795,269.11261,4.1855092,1.87E+03,2.59E+02,4.21E+00,1.87E+03,2.65E+02,6.43E+00,1866.795,189.58231,3.0105963,1.87E+03,2.08E+02,4.06E+00,1.87E+03,2.23E+02,4.66E+00,1866.795,632.27216,314.62558,1.87E+03,7.53E+02,4.49E+02,1.87E+03,8.69E+02,6.07E+02,1866.795,698.08502,1129.1324,1.87E+03,6.98E+02,1.13E+03,1.87E+03,7.46E+02,1.36E+03
1477.3607,269.41287,4.828342,1.48E+03,2.60E+02,4.38E+00,1.48E+03,2.65E+02,6.64E+00,1477.3607,189.99693,3.1283941,1.48E+03,2.09E+02,4.17E+00,1.48E+03,2.24E+02,4.72E+00,1477.3607,696.02032,309.20178,1.48E+03,8.46E+02,4.57E+02,1.48E+03,9.88E+02,6.32E+02,1477.3607,771.7168,1344.7501,1.48E+03,7.72E+02,1.34E+03,1.48E+03,8.13E+02,1.64E+03
1168.8768,269.91833,5.2334638,1.17E+03,2.60E+02,5.02E+00,1.17E+03,2.65E+02,6.81E+00,1168.8768,190.4371,3.2421203,1.17E+03,2.09E+02,4.62E+00,1.17E+03,2.24E+02,4.58E+00,1168.8768,755.72406,295.95709,1.17E+03,9.38E+02,4.52E+02,1.17E+03,1.11E+03,6.40E+02,1168.8768,852.66644,1609.7888,1.17E+03,8.53E+02,1.61E+03,1.17E+03,8.86E+02,1.99E+03
924.70642,270.51324,5.6058183,9.25E+02,2.61E+02,5.07E+00,9.25E+02,2.65E+02,6.99E+00,924.70642,190.84688,3.6757627,9.25E+02,2.10E+02,4.92E+00,9.25E+02,2.25E+02,4.92E+00,924.70642,809.72882,274.62766,9.25E+02,1.03E+03,4.33E+02,9.25E+02,1.24E+03,6.33E+02,924.70642,941.27899,1931.7662,9.25E+02,9.41E+02,1.93E+03,9.25E+02,9.67E+02,2.42E+03
731.63953,271.14792,6.3381801,7.32E+02,2.61E+02,5.70E+00,7.32E+02,2.65E+02,7.45E+00,731.63953,191.28534,3.8948784,7.32E+02,2.11E+02,5.32E+00,7.32E+02,2.25E+02,5.16E+00,731.63953,854.28467,249.41443,7.32E+02,1.11E+03,4.02E+02,7.32E+02,1.35E+03,6.12E+02,731.63953,1045.3353,2329.7185,7.32E+02,1.05E+03,2.33E+03,7.32E+02,1.06E+03,2.96E+03
579.07324,271.74725,6.8363938,5.79E+02,2.62E+02,6.29E+00,5.79E+02,2.65E+02,8.35E+00,579.07324,191.7066,4.478189,5.79E+02,2.11E+02,5.88E+00,5.79E+02,2.26E+02,5.51E+00,579.07324,892.21924,223.03534,5.79E+02,1.17E+03,3.64E+02,5.79E+02,1.46E+03,5.81E+02,579.07324,1161.8197,2819.5139,5.79E+02,1.16E+03,2.82E+03,5.79E+02,1.17E+03,3.62E+03
458.09445,272.56448,7.5604773,4.58E+02,2.63E+02,7.16E+00,4.58E+02,2.65E+02,8.95E+00,458.09445,192.25934,4.8204794,4.58E+02,2.12E+02,6.04E+00,4.58E+02,2.27E+02,5.92E+00,458.09445,922.70197,196.57161,4.58E+02,1.23E+03,3.23E+02,4.58E+02,1.56E+03,5.40E+02,458.09445,1294.1494,3420.8596,4.58E+02,1.29E+03,3.42E+03,4.58E+02,1.29E+03,4.46E+03
